iter	RMSE
0	9.091968094
1	8.809781957
2	8.515036494
3	8.293749524
4	8.055664041
5	7.868020687
6	7.656955955
7	7.445166399
8	7.268224876
9	7.057630157
10	6.8965153
11	6.736867527
12	6.580742242
13	6.406974406
14	6.268439036
15	6.115660512
16	5.986913981
17	5.84638666
18	5.717645876
19	5.58669542
20	5.445941934
21	5.346465593
22	5.259354828
23	5.15380746
24	5.052729614
25	4.966024462
26	4.868032401
27	4.787360255
28	4.699043465
29	4.594171438
30	4.492171658
31	4.421367404
32	4.35498558
33	4.278644404
34	4.220916499
35	4.149783581
36	4.096783904
37	4.034158566
38	3.978410853
39	3.919961545
40	3.867313901
41	3.800762247
42	3.755652656
43	3.697641942
44	3.64746753
45	3.593332705
46	3.558002414
47	3.514424455
48	3.486074798
49	3.451006556
