iter	Passed	Remaining
0	8	399
1	15	365
2	21	341
3	27	319
4	33	300
5	38	280
6	42	260
7	46	245
8	51	233
9	55	223
10	60	214
11	65	206
12	69	198
13	74	191
14	78	184
15	83	177
16	88	171
17	92	165
18	97	159
19	102	153
20	107	147
21	111	142
22	117	137
23	121	131
24	126	126
25	130	120
26	135	115
27	140	110
28	145	105
29	150	100
30	154	94
31	159	89
32	164	84
33	169	79
34	175	75
35	180	70
36	185	65
37	189	59
38	194	54
39	199	49
40	202	44
41	206	39
42	210	34
43	215	29
44	219	24
45	223	19
46	228	14
47	235	9
48	241	4
49	247	0
