iter	RMSE
0	9.222446902
1	9.019032431
2	8.836124635
3	8.660004511
4	8.478886314
5	8.301197076
6	8.132165217
7	7.971925291
8	7.818376643
9	7.668406482
10	7.519295059
11	7.377687028
12	7.236223431
13	7.115550504
14	6.980668856
15	6.867658317
16	6.722810959
17	6.597804926
18	6.489623275
19	6.384526047
20	6.282901779
21	6.174309254
22	6.065345356
23	5.961839492
24	5.877366453
25	5.791342563
26	5.708991084
27	5.626814495
28	5.541219282
29	5.457848543
30	5.366109587
31	5.28653722
32	5.204293438
33	5.133513432
34	5.058804366
35	5.005397978
36	4.929870677
37	4.86484983
38	4.777360209
39	4.713674441
40	4.646565166
41	4.57828082
42	4.505638566
43	4.433863682
44	4.376956932
45	4.325401821
46	4.274312931
47	4.217147905
48	4.170686414
49	4.112429178
50	4.068504521
51	4.021431335
52	3.980105748
53	3.937213923
54	3.895176274
55	3.857690999
56	3.81813816
57	3.778437762
58	3.744579653
59	3.704254453
60	3.668686733
61	3.63951894
62	3.607375863
63	3.57253792
64	3.541627163
65	3.513648951
66	3.481294901
67	3.452017301
68	3.419386211
69	3.387587341
70	3.364212696
71	3.342156742
72	3.310681005
73	3.291327556
74	3.272742319
75	3.244755951
76	3.227291013
77	3.20602393
78	3.184720243
79	3.16607156
80	3.145832889
81	3.123821002
82	3.105384583
83	3.087860084
84	3.065853321
85	3.045770947
86	3.02232582
87	3.003881096
88	2.986626924
89	2.968850803
90	2.951121075
91	2.935983319
92	2.917883257
93	2.90386895
94	2.887164689
95	2.867990741
96	2.854002379
97	2.837804852
98	2.826251516
99	2.815598594
100	2.801326185
101	2.79011223
102	2.771529606
103	2.758969986
104	2.752329298
105	2.740194478
106	2.731676847
107	2.720174711
108	2.710682311
109	2.701433376
110	2.684828782
111	2.670425425
112	2.660589387
113	2.650383193
114	2.634003268
115	2.621359816
116	2.606075665
117	2.597191868
118	2.585002407
119	2.572807466
120	2.562860291
121	2.553103815
122	2.547894212
123	2.539229328
124	2.532890019
125	2.524293914
126	2.516338783
127	2.508204387
128	2.498531838
129	2.487874972
130	2.481845531
131	2.480602598
132	2.474016925
133	2.465546802
134	2.455478614
135	2.446400798
136	2.437409605
137	2.4326646
138	2.421168603
139	2.413326311
140	2.40598152
141	2.396075419
142	2.388808439
143	2.383160912
144	2.375934632
145	2.369051872
146	2.360165316
147	2.352513139
148	2.345136017
149	2.337050331
150	2.335075918
151	2.330213976
152	2.325211857
153	2.319380942
154	2.312867059
155	2.307581877
156	2.301225478
157	2.291740069
158	2.283679467
159	2.281245969
160	2.269516625
161	2.264500526
162	2.257189107
163	2.250159891
164	2.242297634
165	2.231882023
166	2.223052309
167	2.218969236
168	2.21124184
169	2.205907937
170	2.200643669
171	2.196045663
172	2.188964523
173	2.182675307
174	2.180400926
175	2.174915229
176	2.170196039
177	2.168084779
178	2.160637834
179	2.156373291
180	2.149762821
181	2.145804349
182	2.138401084
183	2.133792094
184	2.129281317
185	2.12263841
186	2.120870432
187	2.114394821
188	2.108872677
189	2.107632003
190	2.100424207
191	2.096922513
192	2.089606462
193	2.085216519
194	2.077045673
195	2.070694861
196	2.063318258
197	2.0585111
198	2.052030527
199	2.047339606
200	2.040929082
201	2.034356558
202	2.027899679
203	2.022461096
204	2.017347869
205	2.013005128
206	2.008375064
207	2.000956121
208	1.997479577
209	1.996449658
210	1.992251231
211	1.99031962
212	1.985266392
213	1.977643549
214	1.972378414
215	1.966575972
216	1.961557354
217	1.958283173
218	1.952764937
219	1.951246498
220	1.945658618
221	1.942739678
222	1.94143339
223	1.939849043
224	1.933141074
225	1.931668092
226	1.927289874
227	1.924746961
228	1.919667429
229	1.915631153
230	1.913534608
231	1.909168911
232	1.905170242
233	1.90120306
234	1.895858819
235	1.894554756
236	1.893132722
237	1.890292227
238	1.88474647
239	1.881260297
240	1.87722438
241	1.871223707
242	1.867649507
243	1.860382373
244	1.856684687
245	1.854838025
246	1.852836809
247	1.84734822
248	1.846204285
249	1.845053194
250	1.83921627
251	1.83452465
252	1.829001471
253	1.823923223
254	1.820389903
255	1.816008682
256	1.81285436
257	1.810532446
258	1.803553666
259	1.798853928
260	1.795041056
261	1.792170108
262	1.786504967
263	1.779170198
264	1.7734459
265	1.769838335
266	1.767118751
267	1.762441819
268	1.760296091
269	1.759316578
270	1.755576302
271	1.750233511
272	1.743983669
273	1.740852097
274	1.738271694
275	1.735812189
276	1.733859121
277	1.72722707
278	1.723453774
279	1.720205152
280	1.718164933
281	1.716225989
282	1.714311445
283	1.711663497
284	1.709831652
285	1.708840933
286	1.707988784
287	1.705024791
288	1.702364603
289	1.699101845
290	1.694948619
291	1.689097172
292	1.682499027
293	1.681363718
294	1.675568436
295	1.674749018
296	1.671062488
297	1.668369633
298	1.666752302
299	1.663422005
300	1.66276254
301	1.658992348
302	1.657067771
303	1.651000049
304	1.647490397
305	1.646398124
306	1.641934082
307	1.635775475
308	1.635121091
309	1.628478572
310	1.62267557
311	1.618697059
312	1.61551047
313	1.612679703
314	1.61166057
315	1.605079245
316	1.602438404
317	1.597392992
318	1.594220272
319	1.591963105
320	1.588236883
321	1.586869208
322	1.586280513
323	1.581380879
324	1.579335468
325	1.577186677
326	1.574085464
327	1.567751124
328	1.564751772
329	1.564165051
330	1.560587973
331	1.558054879
332	1.555804182
333	1.553840805
334	1.550682644
335	1.550025569
336	1.549007853
337	1.546986724
338	1.544539669
339	1.539443977
340	1.533390596
341	1.532888721
342	1.529601616
343	1.523871762
344	1.522544908
345	1.521238532
346	1.518215162
347	1.514270406
348	1.513789753
349	1.510526214
350	1.507865937
351	1.503540355
352	1.501508993
353	1.498921987
354	1.491752784
355	1.4883021
356	1.482798834
357	1.481578529
358	1.478925552
359	1.478497566
360	1.474428617
361	1.472711118
362	1.469516466
363	1.466920153
364	1.46442008
365	1.461886191
366	1.458796027
367	1.453647353
368	1.449409028
369	1.446239993
370	1.440622065
371	1.435473588
372	1.433053721
373	1.429292394
374	1.426859806
375	1.423045893
376	1.42020796
377	1.415995419
378	1.413759744
379	1.407696906
380	1.40457407
381	1.400304057
382	1.396094572
383	1.393662633
384	1.390708481
385	1.387289214
386	1.385780269
387	1.384094921
388	1.381234739
389	1.379064023
390	1.376438794
391	1.374792509
392	1.373265513
393	1.368882616
394	1.364888904
395	1.363021852
396	1.3613344
397	1.360693309
398	1.358376817
399	1.354699798
400	1.351148507
401	1.348321132
402	1.345800646
403	1.343319585
404	1.342613847
405	1.341251247
406	1.339218797
407	1.336438632
408	1.334978566
409	1.33112265
410	1.329301151
411	1.326703615
412	1.32375413
413	1.319549536
414	1.316990429
415	1.313284416
416	1.308544693
417	1.30595903
418	1.302079732
419	1.299627078
420	1.298949595
421	1.298289697
422	1.295269532
423	1.29245962
424	1.288837478
425	1.286126854
426	1.283205773
427	1.281111646
428	1.279984964
429	1.279334245
430	1.276338735
431	1.275732745
432	1.274163896
433	1.273739786
434	1.26895322
435	1.266027525
436	1.264216258
437	1.260682786
438	1.257962048
439	1.257310793
440	1.256764256
441	1.256200676
442	1.254719577
443	1.252785082
444	1.249747407
445	1.247097673
446	1.242510701
447	1.241220655
448	1.238335009
449	1.235471832
450	1.23222003
451	1.23130575
452	1.229793112
453	1.22837807
454	1.226084521
455	1.223966759
456	1.220726764
457	1.219523835
458	1.216607459
459	1.213663744
460	1.208722861
461	1.207582536
462	1.204482245
463	1.203341835
464	1.201835572
465	1.198242365
466	1.195686014
467	1.195123828
468	1.192089865
469	1.189456739
470	1.188287932
471	1.184867772
472	1.182455532
473	1.181382464
474	1.180279406
475	1.177195141
476	1.175609176
477	1.172167482
478	1.169210427
479	1.165265586
480	1.164115895
481	1.163047427
482	1.159610528
483	1.157363646
484	1.155125411
485	1.150398055
486	1.147293595
487	1.143327675
