iter	Passed	Remaining
0	3	3722
1	6	3260
2	10	3334
3	14	3540
4	17	3468
5	20	3447
6	24	3462
7	26	3322
8	29	3264
9	31	3148
10	33	3056
11	36	3001
12	38	2909
13	40	2879
14	43	2827
15	45	2770
16	46	2711
17	48	2661
18	50	2621
19	52	2573
20	53	2515
21	55	2459
22	57	2421
23	58	2392
24	61	2384
25	62	2356
26	64	2328
27	66	2305
28	68	2277
29	69	2254
30	71	2222
31	72	2206
32	74	2189
33	76	2184
34	78	2165
35	80	2149
36	81	2130
37	83	2114
38	85	2103
39	87	2089
40	89	2082
41	90	2067
42	92	2048
43	93	2028
44	94	2012
45	96	1999
46	97	1984
47	99	1971
48	100	1957
49	102	1942
50	103	1931
51	105	1924
52	107	1913
53	108	1900
54	110	1898
55	112	1895
56	113	1885
57	115	1875
58	116	1865
59	118	1854
60	119	1845
61	121	1835
62	122	1827
63	124	1818
64	125	1809
65	127	1802
66	128	1792
67	130	1783
68	131	1774
69	132	1764
70	134	1758
71	135	1751
72	137	1746
73	139	1741
74	140	1736
75	142	1732
76	143	1724
77	145	1716
78	146	1707
79	147	1699
80	149	1692
81	150	1686
82	152	1683
83	153	1676
84	155	1668
85	156	1661
86	157	1658
87	159	1653
88	160	1647
89	162	1645
90	164	1640
91	165	1635
92	167	1628
93	168	1624
94	170	1619
95	171	1614
96	173	1610
97	174	1606
98	176	1601
99	177	1599
100	179	1597
101	181	1593
102	182	1589
103	183	1585
104	185	1580
105	186	1575
106	188	1569
107	189	1565
108	190	1560
109	192	1555
110	193	1550
111	194	1544
112	196	1542
113	198	1539
114	199	1535
115	200	1531
116	202	1525
117	203	1520
118	205	1518
119	206	1513
120	207	1509
121	209	1506
122	210	1503
123	212	1502
124	214	1501
125	215	1496
126	217	1492
127	218	1487
128	220	1485
129	221	1482
130	223	1480
131	223	1470
132	224	1466
133	227	1468
134	229	1468
135	230	1467
136	232	1465
137	234	1465
138	236	1464
139	238	1462
140	239	1459
141	240	1455
142	242	1454
143	244	1454
144	246	1452
145	247	1449
146	249	1447
147	251	1446
148	253	1446
149	254	1444
150	256	1440
151	259	1446
152	260	1444
153	262	1441
154	263	1438
155	265	1436
156	267	1435
157	268	1433
158	270	1430
159	272	1429
160	274	1430
161	276	1429
162	278	1428
163	280	1429
164	282	1428
165	284	1427
166	285	1425
167	287	1421
168	288	1420
169	290	1419
170	292	1416
171	293	1412
172	294	1409
173	296	1407
174	298	1405
175	299	1403
176	300	1399
177	302	1395
178	303	1392
179	305	1390
